land,filnavn
Kenya,flag-of-Kenya.png
Kiribati,flag-of-Kiribati.png
Kosovo,flag-of-Kosovo.png
Kuwait,flag-of-Kuwait.png
Kyrgyzstan,flag-of-Kyrgyzstan.png
Laos,flag-of-Laos.png
Latvia,flag-of-Latvia.png
Lebanon,flag-of-Lebanon.png
Lesotho,flag-of-Lesotho.png
Liberia,flag-of-Liberia.png
Libya,flag-of-Libya.png
Liechtenstein,flag-of-Liechtenstein.png
Lithuania,flag-of-Lithuania.png
Luxembourg,flag-of-Luxembourg.png
Madagascar,flag-of-Madagascar.png
Malawi,flag-of-Malawi.png
Malaysia,flag-of-Malaysia.png
Maldives,flag-of-Maldives.png
Mali,flag-of-Mali.png
Malta,flag-of-Malta.png
Marshall Islands,flag-of-Marshall-Islands.png
Mauritania,flag-of-Mauritania.png
Mauritius,flag-of-Mauritius.png
Mexico,flag-of-Mexico.png
Micronesia,flag-of-Micronesia.png
Moldova,flag-of-Moldova.png
Monaco,flag-of-Monaco.png
Mongolia,flag-of-Mongolia.png
Montenegro,flag-of-Montenegro.png
Morocco,flag-of-Morocco.png
Mozambique,flag-of-Mozambique.png
Myanmar,flag-of-Myanmar.png
Namibia,flag-of-Namibia.png
Nauru,flag-of-Nauru.png
Nepal,flag-of-Nepal.png
Netherlands,flag-of-Netherlands.png
New Zealand,flag-of-New-Zealand.png
Nicaragua,flag-of-Nicaragua.png
Niger,flag-of-Niger.png
Nigeria,flag-of-Nigeria.png
North Korea,flag-of-Korea-North.png
North Macedonia,flag-of-North-Macedonia.png
Norway,flag-of-Norway.png
Oman,flag-of-Oman.png
Pakistan,flag-of-Pakistan.png
Palau,flag-of-Palau.png
Palestine,flag-of-Palestine.png
Panama,flag-of-Panama.png
Papua New Guinea,flag-of-Papua-New-Guinea.png
Paraguay,flag-of-Paraguay.png
Peru,flag-of-Peru.png
Philippines,flag-of-Philippines.png
Poland,flag-of-Poland.png
Portugal,flag-of-Portugal.png
Qatar,flag-of-Qatar.png
Romania,flag-of-Romania.png
Russia,flag-of-Russia.png
Rwanda,flag-of-Rwanda.png
Saint Kitts and Nevis,flag-of-St-Kitts-Nevis.png
Saint Lucia,flag-of-St-Lucia.png
Saint Vincent and the Grenadines,flag-of-St-Vincent-the-Grenadines.png
Samoa,flag-of-Samoa.png
San Marino,flag-of-San-Marino.png
Sao Tome and Principe,flag-of-Sao-Tome-and-Principe.png
Saudi Arabia,flag-of-Saudi-Arabia.png
Senegal,flag-of-Senegal.png
Serbia,flag-of-Serbia.png
Seychelles,flag-of-Seychelles.png
Sierra Leone,flag-of-Sierra-Leone.png
Singapore,flag-of-Singapore.png
Slovakia,flag-of-Slovakia.png
Slovenia,flag-of-Slovenia.png
Solomon Islands,flag-of-Solomon-Islands.png
Somalia,flag-of-Somalia.png
South Africa,flag-of-South-Africa.png
South Korea,flag-of-Korea-South.png
South Sudan,flag-of-South-Sudan.png
Spain,flag-of-Spain.png
Sri Lanka,flag-of-Sri-Lanka.png
Sudan,flag-of-Sudan.png
Suriname,flag-of-Suriname.png
Sweden,flag-of-Sweden.png
Switzerland,flag-of-Switzerland.png
Syria,flag-of-Syria.png
Taiwan,flag-of-Taiwan.png
Tajikistan,flag-of-Tajikistan.png
Tanzania,flag-of-Tanzania.png
Thailand,flag-of-Thailand.png
Timor-Leste,flag-of-Timor-Leste.png
Togo,flag-of-Togo.png
Tonga,flag-of-Tonga.png
Trinidad and Tobago,flag-of-Trinidad-and-Tobago.png
Tunisia,flag-of-Tunisia.png
Turkey,flag-of-Turkey.png
Turkmenistan,flag-of-Turkmenistan.png
Tuvalu,flag-of-Tuvalu.png
Uganda,flag-of-Uganda.png
Ukraine,flag-of-Ukraine.png
United Arab Emirates,flag-of-United-Arab-Emirates.png
United Kingdom,flag-of-United-Kingdom.png
United States of America,flag-of-United-States-of-America.png
Uruguay,flag-of-Uruguay.png
Uzbekistan,flag-of-Uzbekistan.png
Vanuatu,flag-of-Vanuatu.png
Vatican City (Holy See),flag-of-Vatican-City.png
Venezuela,flag-of-Venezuela.png
Vietnam,flag-of-Vietnam.png
Yemen,flag-of-Yemen.png
Zambia,flag-of-Zambia.png
Zimbabwe,flag-of-Zimbabwe.png
